제목,축약 내용
"[코인시황] 암호화폐, 미 연준 '빅스텝' 금리 인상에 급락","5%포인트를 올리는 '빅스텝'에 나설 것으로 보이자, 글로벌 증시를 비롯한 암호화폐 시장이 급속히 냉각됐다. 7일 오전 오전 9시3분 기준 국내 암호화폐 거래소 빗썸에서 비트코인은 24시간 전보다 5.18% 내린..."
"메타, 암호화폐 발생 재도전","메타(옛 페이스북)이 독자 암호화폐 발행에 재도전한다. 8일 로이터통신 등 외신은 메타가 새로운 암호화폐 도입을 준비하고 있다고 보도했다. 페이스북, 인스타그램, 왓츠앱 등 자사 서비스 플랫폼에서 금융서비스를..."
"포브스 '암호화폐 억만장자'에 오른 한국인, 4조원대 자산…누구?",포브스가 선정한 암호화폐 억만장자 명단에 두나무 창업자인 송치형 회장(겸 이사회 의장)과 김형년 부회장이 이름을 올렸다. 포브스는 5일(현지시간) '2022년 세계에서 가장 부유한 암호화폐 및 블록체인...
"메타, 저커버그 이름 딴 암호화폐 '저크벅스' 내놓는다",메타(옛 페이스북)가 독자적인 암호화폐 발행에 재도전한다. 이 암호화폐는 메타 내부에서 창업자 마크 저커버그의 이름을 따 ‘저크벅스’로 불리고 있다. 파이낸셜타임스(FT)는 6일(현지 시간) 메타가 페이스북과...
암호화폐 전문가 그리피스 측 “검찰 구형 부당…형량·벌금액 낮춰야”,북한의 제재 회피를 도운 혐의로 최종 선고 공판을 앞두고 있는 미국의 암호화폐 전문가 버질 그리피스 씨의 변호인이 검찰의 구형을 반박하고 나섰습니다. 다음 주 선고 공판에서 재판부가 어떤 판결을 내릴지...
"미 재무장관 첫 암호화폐 연설 발췌문 ""새 규제보다는 기존 금융업 규칙 적용...","미 재무장관 첫 암호화폐 연설 발췌문 ""새 규제보다는 기존 금융업 규칙 적용 희망"" 재닛 옐런 미국 재무장관이 한국시간으로 오늘 23시 30분 워싱턴DC 소재 아메리칸대학교(American University)에서 첫 암호화폐..."
"재닛 옐런 美 재무장관 ""암호화폐 위험 줄이기 위해 적절한 규제 필요""",AP와 블룸버그 통신 등에 따르면 재닛 옐런 미 재무장관은 7일(현지시간) 워싱턴DC에 있는 아메리칸대 강연에서 폭발적으로 시장 규모가 확장하고 있는 암호화폐에 대한 강화된 제도적 규제 필요성을 언급했다. 그는 이날...
세계적 과학학술지 '네이처'에 암호화폐가?…9가지 과제 뭘까,과학 학술지로 유명한 '네이처'에 금융학자들의 '암호화폐'를 다룬 기고문이 게재됐다. 7일(현지시간) 발간된 네이처(Nature) 604호에는 '암호 및 디지털 화폐-9가지 연구 우선 순위'라는 제목의 기고문이 실렸다. 이...
"국정원, 국내 암호화폐 거래소와 위협정보 공유 확대","사이버위협정보공유시스템 국내 4대 거래소로 확대 민간기업과 공유 지속 늘려...현재 112개 기업 참여 국가정보원(국정원)이 국내 대형 암호화폐 거래소와 사이버위협 정보공유를 강화한다. 국정원은 7일 업비트, 빗썸..."
"반등하던 비트코인, 다시 약세로…美 대러 암호화폐 제재에 4만4천달러로 ‘털...",미국 재무부가 러시아 암호화폐 시장 규제에 본격적으로 나서면서 시세가 4만4000달러 선까지 하락했다. 4월 6일 글로벌 코인 시황 중계 사이트 코인마켓캡에 따르면 오후 2시 19분 기준 비트코인은 24시간 전보다 3.13...
