제목,축약내용
"프로야구 롯데, 창단 40주년 기념 친환경 유니폼 출시","프로야구 롯데 자이언츠가 롯데케미칼과 손잡고 친환경 유니폼을 출시한다. 롯데는 창단 40주년을 맞는 올 시즌, 재생 플라스틱 원료를 사용하는 롯데케미칼의 '프로젝트 루프'(Project LOOP) 의류 제작 방식을 구단 전체..."
"""잘 만든 컴투스프로야구V22, 새 엔진으로 몰입감↑""","컴투스가 신작 야구 게임 컴투스프로야구V22(컴프야V22)를 앞세워 야구팬들을 정조준한다. 컴프야V22는 사실적인 동작을 구현한 물리엔진에 더욱 고도화된 그래픽 품질, 세로 모드 지원을 통한 원핸드 플레이 등으로..."
"'40돌' 동원참치, 프로야구 챔피언 에디션 출시",동원F&B(049770)는동원참치 출시 40주년을 기념해 한국야구위원회(KBO)와 손잡고 프로야구 10개 구단의 앰블럼 등을 첨부한 ‘동원참치 챔피언 에디션’ 한정판을 출시했다고 5일 밝혔다. 이번 제품은 동원참치 캔...
[재택플러스] 돌아온 프로야구‥치열해진 마케팅,"출범 40주년을 맞은 프로야구가 지난 주말 성황리에 개막했습니다. 관중들의 입장도 다시 100% 허용되고 이른바 치맥도 가능해졌는데요, '구름 관중'을 겨냥한 유통업계의 마케팅 경쟁도 치열해지고 있다고 합니다...."
2022 프로야구 퓨처스리그 개막…KIA-상무 개막전 '코로나 취소',"2022시즌 한국프로야구(KBO) 퓨처스(2군)리그가 5일 개막 첫날 코로나 19 타격을 받았다.KBO는 퓨처스리그가 5일 삼성 라이온즈-롯데 자이언츠(상동), 한화 이글스-LG 트윈스(이천), 두산 베어스-고양 히어로즈(고양), NC..."
"프로야구선수협, 산불 피해 복구 위해 3000만원 기부",기사내용 요약식목일 맞아 기부 국내 프로야구 선수들이 5일 식목일을 맞아 산불 피해 지역 복구를 위해 뜻을 모았다. 한국프로야구선수협회는 이날 산불 피해 복구를 위한 기부금 3000만원을 희망브리지...
"프로미스나인, 오늘(6일) 프로야구 시구·시타→특별 공연…승리 요정 출격","그룹 프로미스나인(이새롬, 송하영, 장규리, 박지원, 노지선, 이서연, 이채영, 이나경, 백지헌)이 프로야구에 열기를 더한다. 프로미스나인은 오늘(6일) 오후 6시 30분 서울 고척스카이돔에서 열리는 키움 히어로즈..."
"엔씨소프트 프로야구 H3, 서비스 1주년 기념 이벤트 진행","엔씨소프트(대표 김택진, 이하 엔씨(NC))의 모바일 야구 매니지먼트 게임 ‘프로야구 H3’가 서비스 1주년 기념 프로모션 ‘Happy birthday, 흐삼!’을 실시한다. 프로야구 H3는 모든 이용자에게 ‘1주년 기념 특별 쿠폰’..."
"마왕족발, 프로야구 개막 맞아 '고척 스카이돔점' 오픈","이번 '고척 스카이돔점'은 2022년 프로야구 개막을 맞아 키움히어로즈 홈구장인 고척 스카이돔에 오픈했으며, 이로써 마왕족발도 야구장 먹거리 대열에 합류했다고 관계자는 전했다. 마왕족발은 야구장이라는 특성에 맞게..."
"프로야구, 극단적인 투고타저 분위기…리그 평균자책점 3.11",개막 후 3경기서 스트라이크존 확대 효과 톡톡…삼진 늘고 볼넷 줄어 2022 프로야구는 예상대로 투고타저 현상이 짙어지고 있다. 한국야구위원회(KBO)는 올 시즌 개막을 앞두고 스트라이크존의 상·하·좌·우 폭을...
