,D_length,D_weight,y
0,25.4,242.0,0.0
1,26.3,290.0,0.0
2,26.5,340.0,0.0
3,29.0,363.0,0.0
4,29.0,430.0,0.0
5,29.7,450.0,0.0
6,29.7,500.0,0.0
7,30.0,390.0,0.0
8,30.0,450.0,0.0
9,30.7,500.0,0.0
10,31.0,475.0,0.0
11,31.0,500.0,0.0
12,31.5,500.0,0.0
13,32.0,340.0,0.0
14,32.0,600.0,0.0
15,32.0,600.0,0.0
16,33.0,700.0,0.0
17,33.0,700.0,0.0
18,33.5,610.0,0.0
19,33.5,650.0,0.0
20,34.0,575.0,0.0
21,34.0,685.0,0.0
22,34.5,620.0,0.0
23,35.0,680.0,0.0
24,35.0,700.0,0.0
25,35.0,725.0,0.0
26,35.0,720.0,0.0
27,36.0,714.0,0.0
28,36.0,850.0,0.0
29,37.0,1000.0,0.0
30,38.5,920.0,0.0
31,38.5,955.0,0.0
32,39.5,925.0,0.0
33,41.0,975.0,0.0
34,41.0,950.0,0.0
35,9.8,6.7,1.0
36,10.5,7.5,1.0
37,10.6,7.0,1.0
38,11.0,9.7,1.0
39,11.2,9.8,1.0
40,11.3,8.7,1.0
41,11.8,10.0,1.0
42,11.8,9.9,1.0
43,12.0,9.8,1.0
44,12.2,12.2,1.0
45,12.4,13.4,1.0
46,13.0,12.2,1.0
47,14.3,19.7,1.0
48,15.0,19.9,1.0
