영화명,평점,리뷰
범죄도시2,10,
범죄도시2,10,내누군지아니 나 장첸이야~!!  ㅋ
범죄도시2,10,시원시원한 타격감 ㅋㅋㅋ 청량하다 마동석
범죄도시2,10,최고의 마동석표 웰메이드 액션 코믹 영화
고양이에게 밥을 주지 마세요,10,길고양이들과 공생하는건 좋은일이라고생각합니다
범죄도시2,7,꽤 재미있었어요.닥스2가 더 재밌었음.
범죄도시2,10,"정보없이,기대없이 봤던 1탄은 지난 10년간 본 영화중 10손가락안에 들정도로 넘 잼났음 한동안 여기저기 영화관련 댓글 달곤 했는데 ㅎㅎ 항상 기대많이 하면 실망하게 되잖아요  하지만 2탄도 실망없이 잼나게 잘 봤어요 강해상 연기도 나쁘지 않았지만 그래도 악역은 장첸이 최고중 최고죠!! 운계상에 대해 다시 보게 된 영화 . 3탄엔 장이수마냥 장첸도 다시 보게 되길  바랍니다 장첸 나오면 개봉일 바~로 뛰어간다!!!"
더 배트맨,9,짙은 분위기의 배트맨 너무 잘 봤습니다.
범죄도시2,9,재밌게 잘봤어요.1편과 비교하자면 나쁜놈 카리스마가 조금 부족하고 억지 웃음코드가 ..그랬는데 1편없이 그냥 영화로 보면 재밌어요
배드 가이즈,8,넘 귀엽고 재밌게 봤어요.
닥터 스트레인지: 대혼돈의 멀티버스,9,영상미가 촬촬넘침 CG대박임 눈이즐거워요 재밌습니다.
범죄도시2,10,
범죄도시2,10,"역시 마동석, 새로운 발견 손석구! ><"
범죄도시2,10,배우님들 연기력~짱~!  몰입도도 짱
닥터 스트레인지: 대혼돈의 멀티버스,10,나름 재밋게 봤어요
범죄도시2,10,보통 2로 나오면 1보다는 재미 없는고 실망스럽기 마련인데 진짜 너무 재미있게 봤오요!!
범죄도시2,10,진짜 개 꿀잼 시간가는줄 모르고 봄
범죄도시2,10,범죄자 서석구님 너무섹시하잖아 ㅎㅎㅎㅎ
모가디슈,10,실화를 담담히 담아내어 관객이 스스로 감동받고 직접 생각을 할 수 있게 해준 영화
범죄도시2,10,재미있게 잘 봤네요~^^
범죄도시2,10,15세 치고는 잔인한 장면이 많았지만 마동석의 통쾌한 액션이 있어서 지루한 부분은 전혀 없었어요.한번 보시기를 추천할게요
범죄도시2,10,박지환배우님 너무웃겨요ㅜㅜ진짜 재밌게잘봤습니다ㅋㅋㅋㅋ
닥터 스트레인지: 대혼돈의 멀티버스,9,딸이 최근 본 마블 영화 중 최고래요
범죄도시2,10,
범죄도시2,10,1편만큼 재밌는 2편.
범죄도시2,10,말모 말모 마동석 포함 모든 배우들 최고
범죄도시2,10,마동석이 장르킬링타임 no.1
범죄도시2,10,마동석이 장르킬링타임 no.1
범죄도시2,10,마동석이 장르킬링타임 no.1
닥터 스트레인지: 대혼돈의 멀티버스,6,쿵푸허슬 + 매직키드마수리 = 닥터스트레인지 대혼돈의 멀티버스
범죄도시2,10,걱정마시라요! 벌써 두 번 봤어요
닥터 스트레인지: 대혼돈의 멀티버스,7,어둑어둑하고 cg도 훌륭하고 연출이 좋았던 히어로물!
범죄도시2,10,역시 마동석범죄도시3탄도 꼭 만들어라.
범죄도시2,9,재밌떠라 모심무나ㅣㅁㅁㅅ미소미시모시모시
범죄도시2,10,댓글처음써봐요 재밌어요 굿
범죄도시2,10,진짜 꼭 보세요 너무 재밌네요!!
범죄도시2,10,간만에 너무 재밌게 본 영화
스텔라,2,전형적인 한국식 코미디 신파를 곁들인. 근데 코미디가 노잼임 신파도 그저 그럼
불도저에 탄 소녀,8,마지막 경찰 대응은 오버고.. 메세지는 국직하니 좋다
범죄도시2,10,역시 액션은 마동석.. !!
닥터 스트레인지: 대혼돈의 멀티버스,7,딱 7 그 이상도 이하도 아닌
범죄도시2,10,재밌어요 마동석 손석구 반장좋음
범죄도시2,10,
범죄도시2,8,1편보다는 아쉬웠지만 계속 나와줬으면 좋겠음!
범죄도시2,10,크 범죄도시 이건 무조건 봐야한다 무조건 무조건!!!
범죄도시2,10,
드래곤 퀘스트 유어 스토리,10,스토리부터 반전까지 머 하나 빠지지 않는 명작후반 반전때문에 깐다면 그건 오타쿠일뿐
범죄도시2,4,보여주기식 잔인함+도식적+예상가능 스토리에 실망했음. 마동석 캐릭터 최강인건 좋은데 악당의 잔인함을 왜 그리 자세히 오래봐야하는지? 보는 내내 스트레스 받다가 끝내 썩 개운하지도 않게 퇴장
범죄도시2,10,
범죄도시2,4,"1편보다 재미 없음.  너무 잔인하기만 하고, 동석이 연기가 좀 어색함..  1편에서 혼자냐 ? 어 나 싱글이야.. 이런 유머는 1도 없음."
범죄도시2,10,핵핵핵꿀잼 너무 재밌음 그냥 장르가 마동석
범죄도시2,8,뻔하지만 시원시원한 영화. 실제 사건을 기반으로해서 악역들을 공포스럽게 묘사하는 부분도 좋고 결국 마동석이 다 손쉽게 박살내지만 3까지는 우려 먹어도 될 시리즈라고 봄 굳이 꼭 극장가서 볼 것 까진 아니지만 시원시원한 마동석표 타격 사운드를 느끼면서 감상하려면 극장 추천~
범죄도시2,10,재밌다 !! 오랜만에 영화비가 아깝디 않은 영화
범죄도시2,10,존잼역대급영화 짱존잼리뷰 처음써봄
범죄도시2,10,장첸이 너무 강렬했어서 이번 편은 크게 기대하지 않았는데.. 오랜만에 정말 너무 재밌게 본 영화였습니다. 또 보고 싶은 영화에요!!!!
범죄도시2,10,개재밌네 ㅋㅋㅋ 손석구 레알 멋져
범죄도시2,10,긴말 안할게요 어벤져스 엔드게임 영화관에서 보신분들 알겠지만영화관 자체에서 이렇게 웃으면서 소리 듣는게 너무나도 반가웠음영화도 너무 재미있었고 ㅎㅎㅎ다들 코로나 조심하시구 범죄도시2 1000만영화 기원 ㅜㅜ
닥터 스트레인지: 대혼돈의 멀티버스,10,재밌지만 그 괴수들 공격할때마다 왜 고함을 질러서 마무리 못하면 착한역할한텐 역관광..  약간 스토리는 감정선이 이해가 안되는..  하지만 재밌음.
범죄도시2,10,손석구님 연기가 아주 짱이네요 ㅎㅎ팬 됏어요. ㅎㅎ
범죄도시2,10,재미있음 액션신도 마동석표 시원시원함
사라진 시간,1,ㅋㅋ영화본지 10분도안되서 존나 쓰레기같은 느낌이 너무와서평점 봤더니 평점역시 쓰레기ㅋㅋ 와..대사도구리고.. 진짜 감독은 발로영화를 만든듯..
범죄도시2,10,와 한순간도 지루하지 않게 보았습니다더운날씨에 액션이 너무 시원하네요
범죄도시2,10,굿ㅇㅣㅁ니다ㅏㅏㅏ람쥐
범죄도시2,10,손석구.. 강해상 그자체 ㅠㅠ범죄도시 말모말모
범죄도시2,10,존잼진짜까불이+장이수 와우
범죄도시2,10,끝날때까지 휴대폰 한번도안꺼내봤음. 끝나고 한번더볼수있을것같다는 생각이들었음.
닥터 스트레인지: 대혼돈의 멀티버스,10,별로라는 분들이 많아 별로 기대하지 않고 가서 관람했는데 기대 이상이었습니다.
범죄도시2,10,
범죄도시2,8,마동석의 마동석을 위한영화ㅎ 그어떤 빌런이 나와도 들어매치기 한방이면 게임오바!
범죄도시2,10,갠적으로 1보다 더 재밌게범
범죄도시2,10,사이다보다 더 사이다 같은 영화
범죄도시2,10,난 좋았어 재미는 부분도 많고 굿굿
범죄도시2,10,너무 멋짐 마석동석동 나도 벌크옵 고고
닥터 스트레인지: 대혼돈의 멀티버스,4,쏘쏘
범죄도시2,10,손석구 연기 쩌네요! 존잼 ㅜㅜ
범죄도시2,10,1편 본 사람들은 아마 더 웃었을 듯ㅋㅋㅋㅋ
범죄도시2,10,더운 여름 시원~~~합니다!!! 영화 보는 내내 웃다 나왔네요! 추천합니다
범죄도시2,10,유머와 리얼리티의 밸런스를 맞추는게 어려운일인데 좀더 유머가 나가긴해서 아쉬운점이있지만 그래도 재밌었고 마석도형사가 정의로운경찰캐릭터로만 그려진게 약간아쉬웠어요..1편처럼 조폭들 룸살롱가서 놀고 돈도 좀 삥땅치는 캐릭이었음 더살아있는데요~ㅋㅋ감독지망생의 얘기였습니다!!
범죄도시2,7,마동석 유니버스의 완성을 위한 포석. 1편보다 캐릭터들이 안보여 아쉽지만 마동석 캐릭터는 진화중이다
범죄도시2,10,재밌었습니다 웃음 포인트굿굿
범죄도시2,9,코로나로 오랫동안 영화관에 가지못한 기다림을 주먹으로 날려버린느낌…? ㅎ
어벤져스: 엔드게임,8,좋은 끝은 좋은 시작 3000 만큼 좋았다
범죄도시2,10,걍 개재밌다....ㄷㄷ
범죄도시2,10,몇번을 봐도 질리지 않을껏 액션 최고입니다.
범죄도시2,10,손석구가 미친듯이 연기를 잘한다.
범죄도시2,10,최고네요진짜잼있어요ㅋㅋ
범죄도시2,10,최고네요진짜잼있어요ㅋㅋ
범죄도시2,10,
어벤져스: 인피니티 워,9,미친놈의 미친 공리주의
스파이더맨: 노 웨이 홈,8,
범죄도시2,10,형보다 나은 아우는 있다.
범죄도시2,10,자기가 갈 길을 제대로 닦고 있는 영화
롬멜: 사막의 여우,7,잘못된 리더를 따른 최후
범죄도시2,10,처음부터 끝까지 잔인하지만 웃으면서 봤던완전 킬링 영화?? 범죄도시 계속 나왔으면 좋겠어요 진짜
범죄도시2,10,재미있어요 재미있어요
범죄도시2,10,너무 재밌었어요ㅋㅋㅋ
범죄도시2,9,범죄자만 바꿔서 10편도 찍을 수 있을 시리즈. 마동석 특유의 캐릭터성이 빛난 영화
그날,6,보통의 엑소시즘영화와 다른결의 전개방식은 나름 신선하다
범죄도시2,7,1편보다 재밌다
범죄도시2,8,"잘 만든 뻔한 맛, 전형적이지만 아는 맛이 무서운 것처럼 거부할 수 없는 맛. 손석구 OO시함 꿀보이스"
범죄도시2,10,그냥 믿고보는 마동석 배우인것 같네요팝콘 사느라 줄이 너무 길어서 30분 늦게 들어간게 아쉽지만..범죄도시2 보러 가는 사람들이 더 많았습니다 그리고 재미도 있고요
범죄도시2,10,말이 필요 없는 영화 .. 살면서 이렇게 재밌는 영화 처음 봐요 옆에서 남자친구가 그만 웃으라고 화냈던 영화 ㅠㅠ
범죄도시2,10,간만에 재미있게 본 영화!
범죄도시2,9,통쾌하다!!
범죄도시2,10,동석이행님 광팬이지만 팬심을떠나서 정말 재밌고 흥미진진한 연출이였습니다 배우들도 너무 완벽하구요 시리즈 계속 나왔으면 좋겠네요 보는 내내 관객들 전부 웃고 난리도 아니였어요 범죄도시2 화이팅!!!
범죄도시2,9,재미있다. 첨부터 끝까지. 그런데 마동석을 너무 영웅화 만드는거 아닌가? 하는 걱정이된다.
범죄도시2,10,
범죄도시2,10,역시 믿고보는 마블리 꿀잼 ????????
범죄도시2,10,보통 2편은 망하기쉬운데 진짜 1편보다 더재밋게봄 ㅋㅋㅋ 리얼 액션씬 개꿀잼
범죄도시2,10,또보고 싶다아직도 동석이형 주먹이 눈앞에 어른거린다
범죄도시2,10,니 내 누군지 아이? 말이 필요없어!USB 사이드미러 없는 차 타고 2.000만함 가바야하지 안케써?!!!! ㅋㅋㅋㅋ
범죄도시2,10,말이 필요 없네요...너무 재밌게 봤습니다!!본편보다 재밌네요~~^^
닥터 스트레인지: 대혼돈의 멀티버스,1,마블도 이제 한몫 같구나
범죄도시2,10,캬 역시 마동석입니다 스트레스.더위 한방에 날려주네요
범죄도시2,10,시간가는 줄 모르고 봤네요!너무 잼있어요~~다만 15세라고 하기엔 너무 잔인해요청불인듯~~
범죄도시2,10,재밌네 믿고보는 범죄도시입니다 연기자분들이 너무 연기를 잘해요
우아한 거짓말,8,
범죄도시2,10,본편의 형사들의 재미있는 케미요소들을 더 잘살린! 형만한 아우가 있는 영화! 오지게 재미지게 보고와씀! N차 관람예약! ㅋ
범죄도시2,10,보통 속편은 1편보다 못하다는게 상식인데 느낌은 좀 다르지만 1편만큼 재밌네요 ㅎㅎ
닥터 스트레인지: 대혼돈의 멀티버스,1,....(이하생략) 괜히봤다
범죄도시2,8,"일단 15세 관람가 치고는 과하게 잔인하고 자극적입니다20대 성인이 보면서도 중간중간 너무 잔인해서 몇 번을 눈 감고 귀 막은지 모르겠어요칼로 찌르고 싸우는 장면이 영화의 반 이상이고 칼 소리도 너무 사실적이라 정말 무서웠어요ㅜㅜ그나마 마동석 배우 나오는 장면은 마석도가 다 해결해주니까 조금 마음 편히 보았어요!배우들 연기 너무 좋고, 1이랑 이어지는 웃음 포인트들도 개인적으로 정말 재미있었어요. 다음 시리즈 나오면 또 볼 의향 있습니다! 영화관에서는 무서워서 못 볼 것 같지만요..."
미 비포 유,7,눈썹 표정은 존~~~나 거북! ;;;
캡틴 아메리카: 윈터 솔져,10,주제도 참신하면서도 캡틴다운 육탄전을 화려하게 보여주네요
범죄도시2,10,"극장가서 한번 더 볼까 고민중 입니다.~레알 연기 너~무  잘함,,,, 손석구님~강해상은 연기를 한게 아니었어,,, 어딘가에  존재하고 있을 법한  살인마  그 자체 였음..진짜 탈옥해서 마석도 찾아갈 듯~"
졸업반,10,작품성있다고 느껴짐. 평점보고 안볼뻔
범죄도시2,10,걍보셈. 통쾌하고 재밌구!!!! 나쁜놈들은 족취는건 마형사가최고~~~
브루클린,10,무심코 봤다가  ㅜㅜ 인생영화 되었음.미소짓다가 웃다가.끝나고정말 여운 장난아니고  정말  오랫동안 설레이게 되는 영화.
범죄도시2,10,넘 재밋다 오전 11시 조조로 혼영보니 마동석 존잘 ....!!!  싸움도 굿 코믹도 약간 있어서 ..재밋당ㅋㅋ 시간가는쥴 모르고 봤네 3리즈 나왔으면 좋겠당ㅋㅋㅋ
범죄의 재구성,7,묵직한 각본의 신용 사기
우연과 상상,8,우연과 상상으로 펼쳐지는 흥미로운 세 가지 이야기들
뜨거운 피,8,별 기대없이 본 구시대적 느와르.나름 괜찮았다.무조건적 폭력만 앞세우지 않은 나름 웰메이드 느와르.
민스미트 작전,6,결국은 완벽한 기만 작전도 인간의 산물이란 말
닥터 스트레인지: 대혼돈의 멀티버스,10,생각보다 재밌었습니다!
범죄도시2,10,베트남 장면이 다  cg였다니요! 이장면 만든 cg회사 돈 더주세요
범죄도시2,6,투사부일체 같은은영화오락용 영화로최고
닥터 스트레인지: 대혼돈의 멀티버스,8,화려한 CG 액션 볼거리는 좋은데 마블은 역시 스토리가 설정오류도있고
범죄도시2,10,원편보다 더 재밌고 알차고 연기 잘하기 있음?? 장첸이 약하게 느껴집니다... 역시 마동석님만이 주실 수 있는 시원한 액션 연기!!영화관 가서 또 보고 싶음!!!
범죄도시2,10,액션이나 스토리 쓸데 없이 질질끌거나 짜증나는 상황 뭐 그런거 없이 시원하고 재미있고 좋았어요!!!
민스미트 작전,7,스토리는 아쉽지만 배우들의 연기는 볼만했어요
범죄도시2,10,넘나 재미났음. 구씨 사랑합니다!!
범죄도시2,10,범죄도시2 액션 스토리 웃음 전부 재미있었어요
범죄도시2,10,2번봣어요   ㅋㅋ  재밋어요
기쿠지로의 여름,10,이 영화의 리뷰에서 본 것처럼 처음 30분은 뭐 이런 영화가 다 있어...?하다가 끝까지 보면 인생작이 됨
