,리뷰
0,좋아요좋아요좋아요좋아요좋아요좋아요
1,택배 수령 후 바로 조립하였는데 전망 부분 깨져 있네요 문의게시판에 사진이 안올라가서 상품평에 남겨요 지금 사용해야해서 교환은 어려울거 같은데 전망만 보내주실수 있을까요
2,저렴하게잘샀어요 감사합니다
3,상품 잘 받았 습니다
4,잘쓰겠습니다 감사합니다
5,단도 쎄서 수면용으로는 좀
6,소음이 확실히 크고 단부터 바람이 쎄긴한데뭐 그냥저냥
7,시원하네요
8,저렴하게 구입 해서 잘 사용하겠습니다
9,딸 자취방에 한대 사주고 이뻐서 집에도 한대 작동 잘 됩니다
10,저렴하고 시원하고 좋아요
11,배송 빠르고요 배송 상태도 좋습니다 개 구매해보고 좋아서 개더 구매했어요 사이즈가 작아서 자리 많이 차지하지 않아서 좋고요 디자인도 심플하니 식구들이 이쁘다고 합니다 다만 소음은 좀 있습니다
12,사이즈가 작은 편이라 자리 많이 차지하지 않아서 좋습니다 단이 다른 선풍기 단 정도로 세고 범위가 좁은 대신 멀리까지 가서 에어컨 서브용으로 쓰기에도 딱인것 같습니다 소음은 조금 있지만 가격 대비 완전 추천입니다
13,좋아요 좋아요 좋아요
14,신일 써큐레이터 라는 선풍기가 성능이 좋고 디자인이 멋집니다 그러나 대우 써큐 레이터는 일반 선풍기 처럼 좌우 회전은 편하게 되지만 신일 제품보다는 기능이 떨어집니다 자동 상하조절은 안되고 타이머가 없는점이 저럼한 이우인것 같아요 상하 각도 조절과 타이머 기능이 없고 리모컨 작동 기능이 없습니다 바람은 좋고 소음도 작은편 입니다
15,크기는 일반 선풍기보단 작은데 바람은 그렇치 않고 강해요 소음 약간 있어요 조립 쉬워요
16,조립 후 지지대가 볼트를 꽉 조였음에도 흔들리더군요 그래서 약간 옆으로 살짝 기운 느낌이고 탄내는 안 났고 아주 약간 기름냄새가 났으나 신경 쓰일 정도는 아니었어요 그냥 가격 만큼 인거 같고 선풍기 팬은 사진보다는 작은 느낌 이에요
17,에어컨 바람 안방 통하게 하려고 샀어요 조립도 쉽고 바람도 세사 좋아요
18,와 배송 겁나빨라요 어제주문하고 오늘 오전에 받았어요 소음은 전 괜찮다고 생각되고 바람쌔고 회전은 되구요 타이머는 없지만 가격대비 완전 훌륭합니다 타이머 원하고 소리 크다 하시는분들은 만원 넘는 써큘찾으세요
19,저렴한 가격에 적당한 물건 샀다고 생각했는데 고정나사 조이는 부분이 어이없게 만들어져서는 볼트너트를 조여야하는데 너트른 붙잡을수없이 만들었으면 아예 붙여놓든지요 볼트 조이려고 눞히면 너트가 빠져나오고 조립하다 짜증나 성질버리겠어요 결국 조이지못하고 약하게 걸게된 걸로 사용해야겠어요 누구 아이디어일까요 그 조임방식은
20,딱 그값이에요 바람은 시원합니다
21,선부분이 매끈하지 않고 바람은 세네요
22,선풍기 정말 좋아요 조립도 쉽고 바람도 세고 소음도 이정도면 조용한 편인것 같습니다 저희 낡은 선풍기는 이제 보내고 하나 더 장만해야겠어요
25,조립 무난하게 했어요
27,배송이 진짜 빠르고요 써큘레이터는 처음 써보는데 구매평이 많아서 사봤어요
28,시댁 사드렸는데 시원하고 좋다고 하시네요
29,시원하고 좋아요 디자인도 깔끔하고 이뻐요
30,가격대비 괜찮습니다
31,여자인제가 조립 쉬웠어요
32,써큘레이터 가성비 좋고 바람 시원 합니다
33,사이즈는 생각보다 작은데 사이즈에 비해 풍량성능은 좋아요 근데 그만큼 소음이 크네요 선이나 이런 부분이 다 긁혀있고 깨끗하진 않았어요
34,빠른 배송 감사합니다
35,한대가 안전망이 없습니다 글보시면 문의 확인 해주세요
36,좋긴한데 소음과 헤드부분이 좀 약해요 덜렁거리는느낌
37,사이즈가 일반선풍기보다는 작아요 바람은 쎕니다
38,시간 예약이 있으면 더 좋겠어요
39,자그마하고 시원하고 좋네요소음도 적은 듯 좋아요
40,배송빠르고 디자인도 깔끔해요
41,바람이 멀리나가면서도 시원하네요 무소음을 원라시는거만 아니라면 소음심하지 않고 좋아요 에어컨 앞에두고 쓰려고 샀는데 찬 바람이 멀리 나가네요
42,대우에어써큘레이터 선풍기 사용해보니까 매우 시원해요 날씨가 몹시 더워죽겠어요ㅠㅠ
43,조립도 생각보다 어렵지 않고요 바람도 시원하네요
44,아주 잘 사용중이에요 바람세기도 쎄고 좋아요 가격대비 굳
45,바람잘나오고 좋아요ㅎㅎ
46,기능은 없지만 바람시원하고 좋아서 재구매입니다
47,잘 받아서 사용하고 있어요 조립 쉬워요
48,다 좋은데 냄새기ㅡ 좀 심해요
49,이런거 조립 첨해봤는데 해놓고나니간단한건데 헤맸네요 ㅋ
50,잘받았습니다 감사합니다
51,회전도 안되고 한쪽은 안돌아가네요
52,어우 소음은 ㅋㅋ 머리말릴때아주 잘쓰고 있어요
53,좋은 제품 싸게 잘 샀어요
54,가성비 좋아요 사고본이 조금적은게 흡이네요 잘 쓰겟읍니다 
55,기존 선풍기에 비해 작은데 바람은 진짜 쎄요 그리고 이가격에 가성비좋은거죠 지마켓은 또 할인 많이해주니까 싸게 득템한거같아요 배송도 주문하고 담날 왔어요ㅎㅎ 소리는 거슬리진않고 선풍기정도 개인차가 있는듯요디쟌도 이쁘구 오히려 자리많이 차지안해서 좋아요 전 만족해요
56,작고 이쁘네요 좋습니다 그런데 타이머가 없어요
57,배송은 빠르고 바람도 시원한데 소음이 많이 커요 부모님이 소리 무서워하세요
58,베어링쪽 마찰을 줄이기 위해 구리스를 도포했는지 선풍기를 틀면 그 냄새가 나네요 이게 몇일 돌리면 괜찮은건지 모르겠지만 아쉽기는 하네요
59,배송이 빨라서 넘 좋았어요 조립해서 틀어보니 기존 선풍기보다 소음은 작고 단 틀었는데 기존 선풍기 단같네요 좋음
60,바람이 강하네요
61,빠른배송감사합니다 
62,작은게 진짜 시원하고 조아요 
63,어머니가 사달라고하셔서 번째주문입니다
64,배송빠르네요 감사합니다
66,쓰던거 보내신건 아니겠쪄이런거 잘안남기는데흠 박스부터 쫌 이상타했는데선풍기틀면 고무냄새고무타는냄새약간 비슷하게 나는데 없어지는거겠쪄무튼 작년에사서 괜찮아서 올해도 산건데보내기전 한번 잘살펴 보시는게 좋을듯 하네여
67,이걸 왜 이제 샀나하네요 ㅠㅜ 조그마한게 바람이 대박이에요 ㅠ 감동
68,너무좋아요 소음이 좀있는데 그만큼강력하니까괜찮아요
69,작지만 바람 세고 시원해요
70,배송도 빠르고 저렴하게 구매하고 잘 사용하고 있습니다 
71,번째샀어요 싸도 성능좋습니다 적극추천합니다 개안아요
73,가볍게 잘 사용할 수 있어요
74,잘산것 같아요일반선풍기보다 훨 시원해요 단지 타이머 기능이 없어서 조금 아쉬워요
75,괜찮은데 리모컨은 없네요
76,배송도 빠르고 시원하고 작동도 잘 되고 좋아요
77,가성비 굿굿 좋습니다
78,작년에 집에하나 친정에 하나 이젠 교회에 하나 두려고 구매했습니다 선풍기 목에 얼굴을 고정하는 큰 플라스틱 너트가 끝까지 조여지면 풀려버리는 구조라 몇번이나 다시해서 꽉 조이지 않고 적정선을 찾아 조였습니다 작년에 사용하던거는 올해 다시 조립하니 밑바침 조임이 단단하지 못해서 올해 사용중 두번 다시 조였습니다 이런 몇가지 단점이 있지만 올해엔 쿠폰사용해서 만원도 안되게 구매해서 가성비적으로 만족합니다
79,가성비좋네요 약간짱짱하지는않은데 실내에서얌전히쓰기는좋아요
80,작은데 시원해요 근데 군데 군데 검정색이 묶어있어요
81,가격도 저렴하고 성능도 좋아요
82,넘좋아요 시원하고요 소리가 죠금 큰거 빼곤
83,좋아요 바람도 시원하고 좋네요 생각보단 조용하네요   수고하세요
84,저렴하게 구입했어요 바람세기도 강하고 이동할때 가벼워서 좋은데 타이머가 없어서 아쉽네요
85,상품평 보고 구입했는데 바람이 강해서 시원합니다 소음은 참을만해요 빠른 배송 고맙습니다
86,타임이 없는게 좀 아쉽지만 이정도면 좋으네요
87,불량인것같아요그냥단 회전단은 돌아가질않아요 반품시키기 귀찮아 기냥쓸래요 ㅠㅠ
88,배송도 빠르고 디자인도 깔끔하니 이뻐요 바람 풍량도 아주 좋구요 시간 예약 기능만 있응 더 좋았을것 같네요
89,한개더 시킬려니 가격 올랐어요
90,성능도 저렴하고 세일해서 싸게 삿어요
91,선풍기만 사용하다가 이사오고나서 에어컨 설치가 애매하게 위치가 잡혀서 써큘레이터 주문해봤는데요 쪼만한게 바람이 진짜 쎕니다 ㅎㅎㅎ 에어컨 이용시만 트는거라서 타이머는 딱히 필요없는지라 그런 불편은 없구요 조립도 어려울껀 없는데 끼워맞추는부분 보이는게 선풍기랑 다르게 잘 안보여서 그게 시간이 걸렸네요
92,에어 서큘레이터 두번째 구매했습니다 두번째 구매후 다이얼을 돌리고 나서 멈춤현상이 나고 불량이되어 교환을 했어요 다행이 작동이 잘되네요
93,평이 좋아 구매했는데 작지만 바람 세기는 확실히 세요 대신 소음이 꽤 크고요 게다가 새 제품일텐데 군데군데 엄청 지저분해요 가성비 괜찮은듯
94,에어컨 틀어도 공기순환이 안되어서 주방은더웠는데요 이거 괜찮네요 저렴해서 별기대안했는데 만족합니다
95,좋아서 엄마께 또 보내드리고 또 추천해서 하나 더 사고 올여름개 샀네요 단도 넉넉하게 시원하고 쏘는 바람에 힘이 대박입니다 소음은 좀 있어요ㅎ 조용할때 싱소리 들려요ㅋㅋㅋ
96,소음은 약간 성능굿 디자인깔끔 대우라믿음 전기세 아직모름 시가동중 고장아직없음 가격에비해 좋음
97,시원짱요
98,시원하게 잘되네요 
99,저렴히 구매했어요 고장없이 오래쓰길 바래요
100,서클레이터가 비싸서 여기는 부담없는 착한가격에 판매하길래 구매를 했습니다 배송도 빠르고 조립도 쉽네요 고정나사만 분실하지 않게 관리해주시면 됩니다 다이얼을 왼쪽으로 돌리면 회전과 바람이 나오네요 오른쪽 돌리면 회전은 안됨 소음은 크게 나지 않아요 시끄럽지 않습니다 약 정도 되는 크기라 아쉽네요 
101,선물용으로 샀어요 가격 저렴하네요
102,생각보다 가볍고 써큘이라 바람의 직진성이 좋음
103,잘받았습니다잘받았습니다
105,빠른배송으로 잘 받았습니다
106,감사합니다 잘쓸께요 ㅎㅎ
107,가성비 갑입니다 레알선풍기 바람도 엄청 셉니다 다만 꺼짐예약기능이 없습니다 그래도 바람 쩝니다
